label,fontcolor,bold,italic,alignment,outlinelevel,wordobjecttype,imarkerstype,imarkerspos,punctuation,keyword,fontsize,characount,sentencount,firstlineindent,spacebefore,spaceafter,linespacing,wordobjectwidth,wordobjectheight
6,4,0,0,3,0,1,4,2,0,1,0.0,0.1178343949044586,0.25,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.13694267515923567,0.5,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.14649681528662423,0.5,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.18471337579617836,0.5,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,3,0,3,0,1,1,1,0,1,1.0,0.09236947791164657,0.0,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
2,4,3,0,2,0,1,1,1,0,1,0.2727272727272727,0.09638554216867469,0.0,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.0,0.0,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.9999999999999998,1.0000000000000002,0.9999999999999999,0.0,0.0,1.0,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.00803212851405622,0.0,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
4,3,0,0,3,0,1,1,1,0,1,0.0,0.5180722891566264,0.2,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.012048192771084335,0.0,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.028112449799196783,0.0,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.3493975903614458,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.02409638554216867,0.0,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.321285140562249,0.0,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
5,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.00803212851405622,0.0,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.2048192771084337,0.4000000000000001,0.5433070866141732,0.0,0.0,1.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.14457831325301204,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.24899598393574293,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.26104417670682734,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.3132530120481928,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.2730923694779116,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,2,0,0,3,0,1,4,2,0,1,0.0,0.33333333333333326,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.38955823293172687,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.5100401606425702,0.4000000000000001,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.1686746987951807,0.2,0.5433070866141732,0.0,0.0,0.0,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,3,0,2,0,1,1,1,0,1,1.0,0.05371900826446281,0.0,-1.0,0.0,0.0,0.5,0.0,0.0
2,4,3,0,2,0,1,1,1,0,1,0.2727272727272727,0.02066115702479339,0.0,0.6507276507276507,0.0,0.0,0.0,0.0,0.0
