fontcolor,bold,italic,alignment,outlinelevel,wordobjecttype,imarkerstype,imarkerspos,punctuation,keyword,fontsize,characount,sentencount,firstlineindent,spacebefore,spaceafter,linespacing,wordobjectwidth,wordobjectheight
2,0,0,3,0,1,1,1,0,1,0.0,0.05390835579514825,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,3,0,3,0,1,1,2,0,10,0.2727272727272727,0.005390835579514825,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.16711590296495957,0.25,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.11320754716981132,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.11859838274932616,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.11320754716981132,0.25,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.11590296495956874,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.14285714285714288,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.09973045822102426,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.10512129380053908,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.11590296495956874,0.25,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.09703504043126684,0.0,0.7427385892116183,0.0,0.0,1.0,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,3,0,2,0,1,1,1,0,1,1.0,0.08823529411764705,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
4,3,0,2,0,1,1,1,0,1,0.2727272727272727,0.16176470588235292,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.00980392156862745,0.0,-1.0,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,5,2,0,1,0.0,0.024509803921568627,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,5,0,1,1,1,0,1,0.0,1.0,1.0,-1.0,0.0,0.0,0.9999999999999998,0.0,0.0
4,0,0,3,0,1,5,2,0,1,0.0,0.014705882352941176,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.3333333333333333,0.3333333333333333,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,5,2,0,1,0.0,0.00980392156862745,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.30392156862745096,0.3333333333333333,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.019607843137254905,0.0,-1.0,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,1,1,5,2,0,1,0.0,0.03431372549019608,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.09803921568627451,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,5,2,0,1,0.0,0.00980392156862745,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.29411764705882354,0.3333333333333333,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,5,2,0,1,0.0,0.019607843137254905,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.058823529411764705,0.0,0.9764705882352942,0.0,0.0,0.33333333333333326,0.0,0.0
4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.044117647058823525,0.0,-1.0,0.0,0.0,0.33333333333333326,0.0,0.0
